sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
CTE,₹ 106.5 Cr.,₹ 97.66 Cr.,1.96 Cr.,64.94,2.34,₹ 10,0%,₹ 23.03 Cr.,₹ 14.19 Cr.,46.91%,27.27%,5.19%,7.93%,,,,,,,
LPDC,₹ 89.88 Cr.,₹ 86.42 Cr.,13.41 Cr.,0,1.46,₹ 1,0%,₹ 3.45 Cr.,₹ 0 Cr.,64.86%,-31.34%,-0.13%,-0.18%,,,,,,,
SURYALAXMI,₹ 101.27 Cr.,₹ 353.38 Cr.,1.88 Cr.,4.45,0.39,₹ 10,0%,₹ 14.95 Cr.,₹ 267.06 Cr.,60.94%,60.15%,14.25%,13.97%,,,,,,,
KRITIKA,₹ 85.21 Cr.,₹ 95.73 Cr.,8.88 Cr.,14.19,1.18,₹ 2,1.04%,₹ 10.75 Cr.,₹ 21.27 Cr.,72.89%,80.67%,6.02%,8.95%,,,,,,,
AMJLAND,₹ 112.14 Cr.,₹ 111.09 Cr.,4.1 Cr.,10.45,0.85,₹ 2,0.74%,₹ 1.05 Cr.,₹ 0 Cr.,65.90%,-33.75%,7%,7.57%,,,,,,,
SIGIND,₹ 112.74 Cr.,₹ 405.6 Cr.,2.94 Cr.,12.84,0.57,₹ 10,1.30%,₹ 14.23 Cr.,₹ 307.09 Cr.,72.57%,6.08%,4.30%,11.06%,,,,,,,
DRSDILIP,₹ 134.66 Cr.,₹ 133.25 Cr.,1.51 Cr.,31.95,2.61,₹ 10,0%,₹ 8.69 Cr.,₹ 7.28 Cr.,72.12%,29.49%,8.51%,11.85%,,,,,,,
ATALREAL,₹ 100.43 Cr.,₹ 103.58 Cr.,1.48 Cr.,46.6,2.32,₹ 10,0%,₹ 1.66 Cr.,₹ 4.81 Cr.,49.25%,-7.09%,6.67%,11.68%,,,,,,,
LAGNAM,₹ 101.6 Cr.,₹ 261.23 Cr.,1.77 Cr.,6.62,1.09,₹ 10,1.74%,₹ 3.95 Cr.,₹ 163.58 Cr.,68.50%,69.78%,40.10%,21.62%,,,,,,,
LAMBODHARA,₹ 162.67 Cr.,₹ 203.46 Cr.,1.04 Cr.,7.9,1.65,₹ 5,0.96%,₹ 0.5 Cr.,₹ 41.29 Cr.,73.17%,49.38%,20.84%,20.27%,,,,,,,
TARMAT,₹ 120.32 Cr.,₹ 159.22 Cr.,2.13 Cr.,14.07,0.96,₹ 10,0%,₹ 4.46 Cr.,₹ 43.36 Cr.,35.84%,-12.68%,6.32%,4.90%,,,,,,,
PRAENG,₹ 90.22 Cr.,₹ 185.3 Cr.,6.99 Cr.,0,0.16,₹ 10,0%,₹ 2.56 Cr.,₹ 97.64 Cr.,32.87%,140.64%,-0.21%,0.68%,,,,,,,
MOTOGENFIN,₹ 126.44 Cr.,,3.87 Cr.,0,2.43,₹ 5,0%,,,69.14%,97.52,-3.33%,-2.28%,,,,,₹ 0 Cr.,₹ 4.18 Cr.,₹ -1.78 Cr.
UNIVASTU,₹ 102.79 Cr.,₹ 130.99 Cr.,1.14 Cr.,15.26,2.32,₹ 10,0%,₹ 4.59 Cr.,₹ 32.79 Cr.,73.47%,14.69%,14.66%,17.50%,,,,,,,
JAIPURKURT,₹ 108.51 Cr.,₹ 119.82 Cr.,1.14 Cr.,0,6.45,₹ 10,0%,₹ 0.2 Cr.,₹ 11.52 Cr.,58.64%,20.82%,0.69%,6.07%,,,,,,,
FIBERWEB,₹ 106.53 Cr.,₹ 100.05 Cr.,2.88 Cr.,17.45,0.67,₹ 10,0%,₹ 6.48 Cr.,₹ 0 Cr.,46.33%,-11.22%,7.62%,9.35%,,,,,,,
SUVIDHAA,₹ 91.28 Cr.,₹ 87.01 Cr.,20.74 Cr.,0,0.72,₹ 1,0%,₹ 4.26 Cr.,₹ 0 Cr.,38.77%,-64.56%,-4.61%,-4.56%,,,,,,,
ANIKINDS,₹ 101.02 Cr.,₹ 124.37 Cr.,2.78 Cr.,9.16,0.36,₹ 10,0%,₹ 18.57 Cr.,₹ 41.92 Cr.,37.81%,82.18%,3.70%,6.56%,,,,,,,
RKEC,₹ 152.34 Cr.,₹ 227.56 Cr.,2.4 Cr.,79.67,1.11,₹ 10,0%,₹ 65.96 Cr.,₹ 141.18 Cr.,73.98%,3.13%,4.67%,10.72%,,,,,,,
TAINWALCHM,₹ 98.65 Cr.,₹ 97.77 Cr.,0.94 Cr.,19.38,1.03,₹ 10,0%,₹ 0.88 Cr.,₹ 0 Cr.,67.05%,19.37%,0.39%,0.76%,,,,,,,
DIL,₹ 155.94 Cr.,₹ 167.89 Cr.,7.64 Cr.,5.58,1.19,₹ 10,0%,₹ 2.67 Cr.,₹ 14.62 Cr.,36.66%,216.33%,17.61%,15.30%,,,,,,,
INCREDIBLE,₹ 102.18 Cr.,₹ 139.68 Cr.,4.68 Cr.,23.39,0.83,₹ 10,0%,₹ 2.26 Cr.,₹ 39.76 Cr.,74.96%,8.45%,2.97%,7.24%,,,,,,,
PARTYCRUS,₹ 64.75 Cr.,₹ 64.44 Cr.,0.71 Cr.,48.72,3.18,₹ 10,0%,₹ 0.5 Cr.,₹ 0.18 Cr.,72.86%,75.04%,7.30%,10.25%,,,,,,,
TOUCHWOOD,₹ 165.04 Cr.,₹ 158.13 Cr.,1.02 Cr.,56.17,9.39,₹ 10,0.09%,₹ 7.36 Cr.,₹ 0.45 Cr.,70.07%,164.61%,14.78%,20.37%,,,,,,,
WELINV,₹ 99.38 Cr.,,0.37 Cr.,32.45,0.44,₹ 10,0%,,,74.58%,209.3,1.75%,2.75%,,,,,₹ 0 Cr.,₹ 4.22 Cr.,₹ 2.47 Cr.
GROBTEA,₹ 93.47 Cr.,₹ 81.99 Cr.,0.12 Cr.,18.63,0.96,₹ 10,0.25%,₹ 14.6 Cr.,₹ 3.12 Cr.,74.93%,-15.68%,5.40%,6.80%,,,,,,,
AUSOMENT,₹ 91.07 Cr.,₹ 98.82 Cr.,1.36 Cr.,23.79,0.77,₹ 10,1.48%,₹ 2.2 Cr.,₹ 9.95 Cr.,73.70%,-94.18%,4.71%,4.39%,,,,,,,
BAGFILMS,₹ 92.03 Cr.,₹ 127.77 Cr.,19.79 Cr.,183.07,0.35,₹ 2,0%,₹ 0.71 Cr.,₹ 36.45 Cr.,46.86%,15.49%,0.18%,1.48%,,,,,,,
SONAMCLOCK,₹ 93.27 Cr.,₹ 122.91 Cr.,2 Cr.,18.58,1.94,₹ 10,0%,₹ 0.2 Cr.,₹ 29.84 Cr.,73.67%,9.79%,10.30%,10.35%,,,,,,,
HPIL,₹ 91.32 Cr.,₹ 100.3 Cr.,1.04 Cr.,32.55,2.34,₹ 10,1.10%,₹ 0.17 Cr.,₹ 9.16 Cr.,74.85%,15.10%,7.43%,10.05%,,,,,,,
IZMO,₹ 119.39 Cr.,₹ 118.63 Cr.,1.34 Cr.,145.41,0.7,₹ 10,0%,₹ 1.52 Cr.,₹ 0.77 Cr.,28.62%,9.10%,0.06%,0.32%,,,,,,,
PRESSMN,₹ 139.84 Cr.,₹ 137.82 Cr.,2.35 Cr.,33.95,3.04,₹ 2,1.67%,₹ 2.02 Cr.,₹ 0 Cr.,43.09%,-17.16%,10.28%,12.30%,,,,,,,
AAREYDRUGS,₹ 80.85 Cr.,₹ 94.82 Cr.,2.54 Cr.,30.41,0.69,₹ 10,0%,₹ 0.19 Cr.,₹ 14.16 Cr.,50.03%,41.41%,6.30%,9.86%,,,,,,,
SHRENIK,₹ 73.44 Cr.,₹ 271.3 Cr.,61.2 Cr.,0,1.18,₹ 1,0%,₹ 0.03 Cr.,₹ 197.88 Cr.,44.42%,-82.45%,-21.74%,1.23%,,,,,,,
TOKYOPLAST,₹ 88.13 Cr.,₹ 102.28 Cr.,0.95 Cr.,0,1.51,₹ 10,0%,₹ 0.73 Cr.,₹ 14.89 Cr.,63.96%,27.10%,-0.27%,1.52%,,,,,,,
LLOYDS,₹ 110.25 Cr.,₹ 117.57 Cr.,2.25 Cr.,0,2.94,₹ 10,0%,₹ 0.7 Cr.,₹ 8.02 Cr.,73.33%,0,,,,,,,,,
SUMIT,₹ 109.2 Cr.,₹ 162.46 Cr.,3.06 Cr.,42.81,2.02,₹ 10,0%,₹ 4.8 Cr.,₹ 58.06 Cr.,69.94%,28.99%,-1.89%,3.05%,,,,,,,
STEELCITY,₹ 91.93 Cr.,,1.51 Cr.,7.97,0.94,₹ 10,4.93%,,,65.68%,21.38,15.12%,21.45%,,,,,₹ 0 Cr.,₹ 63.54 Cr.,₹ 12.93 Cr.
DGCONTENT,₹ 94.84 Cr.,₹ 162.8 Cr.,5.82 Cr.,0,1.56,₹ 2,0%,₹ 0.21 Cr.,₹ 68.17 Cr.,64.90%,22.94%,-18.62%,-2.14%,,,,,,,
CELEBRITY,₹ 79.06 Cr.,₹ 153.1 Cr.,5.17 Cr.,8.55,3.83,₹ 10,0%,₹ 2.03 Cr.,₹ 76.07 Cr.,38.66%,40.78%,94.31%,16.80%,,,,,,,
BEARDSELL,₹ 85.05 Cr.,₹ 104.48 Cr.,3.75 Cr.,12.42,1.51,₹ 2,0.44%,₹ 1.96 Cr.,₹ 21.4 Cr.,53.79%,43.25%,6.31%,11.44%,,,,,,,
HINDCON,₹ 93.42 Cr.,₹ 89.25 Cr.,1.02 Cr.,22.65,2.33,₹ 10,1.86%,₹ 5.41 Cr.,₹ 1.24 Cr.,68.12%,43.89%,13.42%,17.64%,,,,,,,
KANANIIND,₹ 79.64 Cr.,₹ 99.97 Cr.,9.89 Cr.,75.94,1.79,₹ 1,0%,₹ 4.15 Cr.,₹ 24.48 Cr.,61.35%,9.59%,2.14%,2.92%,,,,,,,
ENERGYDEV,₹ 89.54 Cr.,₹ 106.99 Cr.,4.75 Cr.,31.73,0.54,₹ 10,0%,₹ 3.48 Cr.,₹ 20.93 Cr.,58.14%,13.79%,1.85%,3.05%,,,,,,,
PROLIFE,₹ 90.93 Cr.,₹ 94.27 Cr.,0.41 Cr.,21.14,3.56,₹ 10,0.14%,₹ 1.37 Cr.,₹ 4.71 Cr.,73.74%,-0.24%,18.32%,22.56%,,,,,,,
VIVIMEDLAB,₹ 74.87 Cr.,₹ 392.23 Cr.,8.29 Cr.,0,0.21,₹ 2,0%,₹ 6.02 Cr.,₹ 323.38 Cr.,20.96%,-24.06%,-4.64%,2.22%,,,,,,,
FIDEL,₹ 94.88 Cr.,₹ 93.82 Cr.,1.38 Cr.,20.78,2.94,₹ 10,0%,₹ 2.68 Cr.,₹ 1.62 Cr.,72.72%,0,,,,,,,,,
AGROPHOS,₹ 75.32 Cr.,₹ 84.99 Cr.,2.03 Cr.,12.98,1.44,₹ 10,0%,₹ 3.09 Cr.,₹ 12.76 Cr.,54.27%,93.50%,13.16%,15.17%,,,,,,,
KALYANIFRG,₹ 91.39 Cr.,₹ 112.98 Cr.,0.36 Cr.,25.29,0.87,₹ 10,1.19%,₹ 4.9 Cr.,₹ 26.49 Cr.,58.71%,36.35%,3.08%,5.95%,,,,,,,
ROML,₹ 149.59 Cr.,₹ 177.49 Cr.,3 Cr.,53.22,4.22,₹ 10,0%,₹ 0.32 Cr.,₹ 28.21 Cr.,75%,14.55%,0%,17.76%,,,,,,,
BIOFILCHEM,₹ 77.71 Cr.,₹ 78.03 Cr.,1.63 Cr.,138.01,4.55,₹ 10,0%,₹ 0.14 Cr.,₹ 0.46 Cr.,46.82%,-37.39%,4.24%,6.23%,,,,,,,
ELECTHERM,₹ 77.09 Cr.,₹ 1994.18 Cr.,1.27 Cr.,0,0,₹ 10,0%,₹ 71.26 Cr.,₹ 1988.35 Cr.,31.04%,12.01%,0%,-0.79%,,,,,,,
AURDIS,₹ 101.64 Cr.,₹ 135.79 Cr.,0.82 Cr.,11.32,2.06,₹ 10,0%,₹ 0.19 Cr.,₹ 34.34 Cr.,74.93%,48.07%,20.02%,20.50%,,,,,,,
PATINTLOG,₹ 86.18 Cr.,₹ 112.49 Cr.,6.6 Cr.,15.22,0.58,₹ 10,0.76%,₹ 21.67 Cr.,₹ 47.98 Cr.,39.53%,10.25%,1.94%,4.41%,,,,,,,
PRAKASHSTL,₹ 80.5 Cr.,₹ 113.76 Cr.,17.5 Cr.,0.63,0,₹ 1,0%,₹ 0.7 Cr.,₹ 33.96 Cr.,33.30%,88.92%,0%,0%,,,,,,,
GICL,₹ 88.43 Cr.,₹ 108.14 Cr.,2.01 Cr.,61.45,2.43,₹ 10,0%,₹ 0.48 Cr.,₹ 20.18 Cr.,74.18%,34.55%,5.60%,8.35%,,,,,,,
DOLLEX,₹ 78.65 Cr.,₹ 117.48 Cr.,2.5 Cr.,24.06,1.61,₹ 10,0%,₹ 5.64 Cr.,₹ 44.47 Cr.,-,0,,,,,,,,,
BHANDARI,₹ 71.8 Cr.,₹ 173.63 Cr.,14.65 Cr.,10.42,0.83,₹ 1,0.20%,₹ 1.37 Cr.,₹ 103.21 Cr.,24.95%,25.46%,7.99%,9.29%,,,,,,,
ARCHIES,₹ 68.57 Cr.,₹ 92.73 Cr.,3.38 Cr.,0,0.66,₹ 2,0%,₹ 0.66 Cr.,₹ 24.82 Cr.,62.25%,39.59%,-2.48%,1.30%,,,,,,,
TARACHAND,₹ 118.1 Cr.,₹ 208.97 Cr.,1.36 Cr.,13.56,1.84,₹ 10,0%,₹ 2.91 Cr.,₹ 93.78 Cr.,74.71%,16.42%,4.23%,8.17%,,,,,,,
MITCON,₹ 88.98 Cr.,₹ 93.24 Cr.,1.34 Cr.,14.75,0.81,₹ 10,0%,₹ 4.13 Cr.,₹ 8.38 Cr.,0%,136.48%,2.12%,5.77%,,,,,,,
DBSTOCKBRO,₹ 99.23 Cr.,,3.5 Cr.,12.69,1.82,₹ 2,0%,,,30.01%,56.4,17.56%,23.75%,,,,,₹ 0 Cr.,₹ 27.37 Cr.,₹ 7.95 Cr.
MCL,₹ 73.83 Cr.,₹ 80.78 Cr.,2.71 Cr.,0,1.8,₹ 5,0%,₹ 0.38 Cr.,₹ 7.34 Cr.,66.34%,-68.11%,-5.37%,-1.70%,,,,,,,
SHIVAMILLS,₹ 74.28 Cr.,₹ 80.24 Cr.,0.86 Cr.,0,0.73,₹ 10,1.39%,₹ 1.95 Cr.,₹ 7.91 Cr.,74.94%,53.24%,17.80%,24.22%,,,,,,,
DHRUV,₹ 83.78 Cr.,₹ 91.56 Cr.,1.51 Cr.,19.06,1.51,₹ 10,0%,₹ 4.24 Cr.,₹ 12.02 Cr.,64.07%,18.41%,13.48%,16.62%,,,,,,,
ANKITMETAL,₹ 74.08 Cr.,₹ 1213.1 Cr.,14.11 Cr.,0,0,₹ 10,0%,₹ 0.65 Cr.,₹ 1139.66 Cr.,71.02%,81.09%,0%,-11.85%,,,,,,,
CORDSCABLE,₹ 92.37 Cr.,₹ 162.2 Cr.,1.29 Cr.,13.28,0.59,₹ 10,0%,₹ 22.1 Cr.,₹ 91.93 Cr.,51.77%,35.45%,4.28%,13.52%,,,,,,,
MHHL,₹ 105.59 Cr.,₹ 148.55 Cr.,1.82 Cr.,16.43,1.27,₹ 10,0%,₹ 0.81 Cr.,₹ 43.78 Cr.,62.33%,-1.49%,8.02%,9.06%,,,,,,,
TREJHARA,₹ 77.81 Cr.,₹ 84.51 Cr.,1.18 Cr.,6.44,0.27,₹ 10,0.75%,₹ 0.11 Cr.,₹ 6.81 Cr.,30%,25.53%,2.46%,3.61%,,,,,,,
BANKA,₹ 87.21 Cr.,₹ 91.32 Cr.,1.08 Cr.,24.04,2.18,₹ 10,0%,₹ 6.47 Cr.,₹ 10.58 Cr.,55.19%,-36.37%,7.60%,8.56%,,,,,,,
OILCOUNTUB,₹ 65.99 Cr.,₹ 288.47 Cr.,4.43 Cr.,0.63,0,₹ 10,0%,₹ 0.46 Cr.,₹ 222.95 Cr.,49.22%,-100%,0%,-27.81%,,,,,,,
DELTAMAGNT,₹ 71.4 Cr.,₹ 114.64 Cr.,1.09 Cr.,0,1.92,₹ 10,0%,₹ 3.61 Cr.,₹ 46.85 Cr.,72.08%,25.33%,75.95%,36.29%,,,,,,,
ARIHANTACA,₹ 75.9 Cr.,₹ 74.09 Cr.,0.61 Cr.,37.6,3.1,₹ 10,0%,₹ 3.09 Cr.,₹ 1.28 Cr.,-,0,,,,,,,,,
GSTL,₹ 116.13 Cr.,₹ 124.07 Cr.,0.91 Cr.,116.22,5.81,₹ 10,0%,₹ 0.32 Cr.,₹ 8.26 Cr.,35.80%,0,,,,,,,,,
CENTEXT,₹ 75.2 Cr.,₹ 116.48 Cr.,8 Cr.,9.32,1.16,₹ 1,0%,₹ 2.88 Cr.,₹ 44.16 Cr.,52.04%,72.13%,11.01%,16.57%,,,,,,,
WIPL,₹ 77.4 Cr.,₹ 91.42 Cr.,0.85 Cr.,19.5,1.59,₹ 10,0.88%,₹ 3.52 Cr.,₹ 17.53 Cr.,40.98%,18.10%,3.13%,5.36%,,,,,,,
SHREERAMA,₹ 64.33 Cr.,₹ 143.47 Cr.,6.34 Cr.,0,2.6,₹ 5,0%,₹ 0.13 Cr.,₹ 79.26 Cr.,42.51%,10.69%,-19.04%,-4.25%,,,,,,,
FLEXITUFF,₹ 67.93 Cr.,₹ 679.31 Cr.,2.49 Cr.,0,0,₹ 10,0%,₹ 12.34 Cr.,₹ 623.72 Cr.,32.88%,19.72%,-95.84%,-6.55%,,,,,,,
GEEKAYWIRE,₹ 132.27 Cr.,₹ 231 Cr.,1.05 Cr.,8.36,2.23,₹ 10,1.98%,₹ 9.85 Cr.,₹ 108.58 Cr.,59.34%,51.51%,20.54%,14.44%,,,,,,,
NITIRAJ,₹ 75.81 Cr.,₹ 78.71 Cr.,1.03 Cr.,0,1.11,₹ 10,0%,₹ 0.81 Cr.,₹ 3.71 Cr.,69.07%,-25.79%,-4.80%,-5.52%,,,,,,,
PKTEA,₹ 74.7 Cr.,₹ 122.52 Cr.,0.31 Cr.,0,0.41,₹ 10,0.41%,₹ 2.68 Cr.,₹ 50.5 Cr.,60.93%,-35.15%,0.27%,2.09%,,,,,,,
EXCEL,₹ 56.43 Cr.,₹ 55.29 Cr.,141.07 Cr.,15.15,0.33,₹ 1,0%,₹ 1.42 Cr.,₹ 0.29 Cr.,20.98%,14.88%,-1.56%,-1.48%,,,,,,,
AAATECH,₹ 78.05 Cr.,₹ 68.84 Cr.,1.28 Cr.,38.99,2.69,₹ 10,0.82%,₹ 9.21 Cr.,₹ 0 Cr.,71.51%,30.69%,8.64%,11.93%,,,,,,,
ZENITHSTL,₹ 66.87 Cr.,₹ 287.37 Cr.,14.23 Cr.,8.35,0,₹ 10,0%,₹ 3.16 Cr.,₹ 223.66 Cr.,15.64%,125.75%,0%,0%,,,,,,,
TREEHOUSE,₹ 58.81 Cr.,₹ 78.66 Cr.,4.23 Cr.,0,0.27,₹ 10,0%,₹ 0.01 Cr.,₹ 19.87 Cr.,20.54%,13.35%,-9.97%,-6.74%,,,,,,,
KEYFINSERV,₹ 69.66 Cr.,,0.7 Cr.,31.62,1.1,₹ 10,1.01%,,,56.43%,-21.77,6.06%,6.02%,,,,,₹ 0 Cr.,₹ 7.64 Cr.,₹ 3.66 Cr.
SAMBHAAV,₹ 62.11 Cr.,₹ 71.09 Cr.,19.11 Cr.,0,0.74,₹ 1,0%,₹ 0.26 Cr.,₹ 9.24 Cr.,62.93%,7.83%,-0.21%,2.26%,,,,,,,
GLOBALVECT,₹ 76.02 Cr.,₹ 99.35 Cr.,1.4 Cr.,0,3.99,₹ 10,0%,₹ 32.07 Cr.,₹ 55.4 Cr.,75%,12.44%,-12.33%,8.07%,,,,,,,
FEL,₹ 56.87 Cr.,₹ 6497.75 Cr.,45.49 Cr.,0,0.23,₹ 2,0%,₹ 49.41 Cr.,₹ 6490.29 Cr.,16.37%,-78.30%,-33.95%,-3.69%,,,,,,,
GIRIRAJ,₹ 82.16 Cr.,₹ 97.31 Cr.,0.4 Cr.,21.67,1.47,₹ 10,0%,₹ 2.73 Cr.,₹ 17.88 Cr.,69.19%,30.69%,11.86%,14.04%,,,,,,,
AROGRANITE,₹ 67.09 Cr.,₹ 256.82 Cr.,1.53 Cr.,0,0.36,₹ 10,0%,₹ 9.58 Cr.,₹ 199.3 Cr.,41.06%,25.29%,4.64%,4.98%,,,,,,,
LATTEYS,₹ 206.98 Cr.,₹ 219 Cr.,5.75 Cr.,200,9.23,₹ 2,0%,₹ 0.21 Cr.,₹ 12.22 Cr.,72.26%,50.79%,6.89%,9.16%,,,,,,,
JBFIND,₹ 50.35 Cr.,₹ 2353.5 Cr.,8.19 Cr.,0,0,₹ 10,0%,₹ 140.49 Cr.,₹ 2443.64 Cr.,22.91%,48.37%,0%,-44.22%,,,,,,,
MAGNUM,₹ 112.62 Cr.,₹ 380.96 Cr.,3.76 Cr.,2.08,0,₹ 10,0%,₹ 5.26 Cr.,₹ 273.61 Cr.,53.24%,85.90%,0%,3.18%,,,,,,,
AVSL,₹ 74.66 Cr.,₹ 97.37 Cr.,0.53 Cr.,12.68,2.29,₹ 10,0%,₹ 0.58 Cr.,₹ 23.29 Cr.,71.65%,22.15%,19.89%,18.46%,,,,,,,
PANACHE,₹ 100.32 Cr.,₹ 123.21 Cr.,1.2 Cr.,48.44,2.91,₹ 10,0%,₹ 0.91 Cr.,₹ 23.79 Cr.,65.49%,9.92%,6.34%,10.78%,,,,,,,
HISARMETAL,₹ 81.41 Cr.,₹ 141.76 Cr.,0.54 Cr.,5.6,1.51,₹ 10,0.66%,₹ 4.25 Cr.,₹ 64.6 Cr.,61.02%,54.83%,31.67%,20.87%,,,,,,,
PIGL,₹ 91.22 Cr.,₹ 112.77 Cr.,1.26 Cr.,24.79,2.14,₹ 10,0%,₹ 6.92 Cr.,₹ 28.47 Cr.,58.39%,6.82%,11.19%,13.15%,,,,,,,
AAKASH,₹ 76.44 Cr.,₹ 92.16 Cr.,10.13 Cr.,14.18,1.49,₹ 1,0%,₹ 0.34 Cr.,₹ 16.05 Cr.,66.67%,28.61%,13.72%,15.51%,,,,,,,
PRECISION,₹ 59.02 Cr.,₹ 48.42 Cr.,1.63 Cr.,17.06,1.45,₹ 10,0%,₹ 10.6 Cr.,₹ 0 Cr.,58.62%,0,,,,,,,,,
SEPOWER,₹ 55.84 Cr.,₹ 139.58 Cr.,4.06 Cr.,0,12.48,₹ 10,0%,₹ 0.07 Cr.,₹ 83.81 Cr.,35.60%,104.29%,-42.35%,-0.58%,,,,,,,
UMA,₹ 70.15 Cr.,₹ 143.19 Cr.,2.03 Cr.,14.17,1.14,₹ 10,0%,₹ 1.27 Cr.,₹ 74.31 Cr.,-,0,,,,,,,,,
CMRSL,₹ 46.85 Cr.,₹ 55.44 Cr.,0.29 Cr.,37.12,2.72,₹ 10,0%,₹ 1.12 Cr.,₹ 9.71 Cr.,41.66%,0,,,,,,,,,
GLOBE,₹ 52.14 Cr.,₹ 142.73 Cr.,15.11 Cr.,8.57,0.98,₹ 2,0%,₹ 0.15 Cr.,₹ 90.74 Cr.,44.37%,47.99%,11.10%,12.17%,,,,,,,
CINEVISTA,₹ 66.34 Cr.,₹ 65.84 Cr.,5.74 Cr.,0,2.99,₹ 2,0%,₹ 0.5 Cr.,₹ 0 Cr.,67.61%,21.72%,-42.46%,-25.42%,,,,,,,
ORIENTLTD,₹ 57.85 Cr.,₹ 112.77 Cr.,1 Cr.,0,0.84,₹ 10,0%,₹ 2.67 Cr.,₹ 57.58 Cr.,73.05%,12.85%,-4.85%,0.55%,,,,,,,
REGENCERAM,₹ 61.34 Cr.,₹ 118.58 Cr.,2.64 Cr.,1.87,0,₹ 10,0%,₹ 0.12 Cr.,₹ 57.36 Cr.,60.59%,0%,0%,121.58%,,,,,,,
NIDAN,₹ 66.72 Cr.,₹ 77.91 Cr.,1.39 Cr.,25.05,1.01,₹ 10,0%,₹ 8.1 Cr.,₹ 19.29 Cr.,71.22%,0,,,,,,,,,
ROLTA,₹ 49.77 Cr.,₹ 6388.65 Cr.,16.59 Cr.,0,0,₹ 10,0%,₹ 8.88 Cr.,₹ 6347.76 Cr.,2.31%,-73.86%,0%,6.13%,,,,,,,
MALUPAPER,₹ 51.69 Cr.,₹ 152.58 Cr.,1.71 Cr.,0,6.57,₹ 10,0%,₹ 1.74 Cr.,₹ 102.62 Cr.,69.95%,24.85%,-30.32%,-0.32%,,,,,,,
SHRADHA,₹ 99.73 Cr.,₹ 99.68 Cr.,2.02 Cr.,16.54,1.66,₹ 5,0%,₹ 0.05 Cr.,₹ 0 Cr.,74.94%,780.65%,2.20%,2.51%,,,,,,,
MAHICKRA,₹ 81.87 Cr.,₹ 91.85 Cr.,0.81 Cr.,24.45,2.75,₹ 10,0.64%,₹ 0.04 Cr.,₹ 10.02 Cr.,52.18%,18.24%,11.82%,14.03%,,,,,,,
MDL,₹ 76.08 Cr.,₹ 87.12 Cr.,1.7 Cr.,73.58,1.61,₹ 10,0%,₹ 0.08 Cr.,₹ 11.11 Cr.,72.91%,22.24%,2.21%,4.72%,,,,,,,
AGRITECH,₹ 57.68 Cr.,₹ 61.21 Cr.,0.59 Cr.,52.24,0.63,₹ 10,0%,₹ 0 Cr.,₹ 3.54 Cr.,31.10%,47.49%,3.04%,3.86%,,,,,,,
RSSOFTWARE,₹ 63.76 Cr.,₹ 60.45 Cr.,2.57 Cr.,0,1.19,₹ 5,0%,₹ 10.04 Cr.,₹ 6.74 Cr.,40.67%,-22.24%,-16.91%,-9.64%,,,,,,,
MOKSH,₹ 55 Cr.,₹ 56.06 Cr.,5.37 Cr.,11.03,1.12,₹ 2,0.98%,₹ 2.73 Cr.,₹ 3.78 Cr.,55.13%,-3.78%,12.06%,12.57%,,,,,,,
MBECL,₹ 93.73 Cr.,₹ 2248.98 Cr.,21.16 Cr.,0,0,₹ 10,0%,₹ 24.12 Cr.,₹ 2179.37 Cr.,32.79%,-24.06%,-268.72%,-0.85%,,,,,,,
BANG,₹ 57.9 Cr.,₹ 81.47 Cr.,1.36 Cr.,12.67,0.66,₹ 10,0%,₹ 4.11 Cr.,₹ 27.67 Cr.,72.29%,42.03%,5.45%,4.88%,,,,,,,
PENTAGOLD,₹ 62.16 Cr.,₹ 180.72 Cr.,1.27 Cr.,0,1.64,₹ 10,0%,₹ 2.97 Cr.,₹ 121.53 Cr.,55.90%,-72.51%,0.32%,3.03%,,,,,,,
AJOONI,₹ 45.56 Cr.,₹ 50.85 Cr.,8.76 Cr.,87.25,1.15,₹ 2,0%,₹ 0.06 Cr.,₹ 5.35 Cr.,36.39%,45.06%,6.58%,9.09%,,,,,,,
HYBRIDFIN,₹ 35.47 Cr.,,2.94 Cr.,179.05,11.89,₹ 5,0%,,,64.02%,46.09,39.83%,22.23%,,,,,₹ 0 Cr.,₹ 1.25 Cr.,₹ 1 Cr.
IPSL,₹ 55.49 Cr.,₹ 77.95 Cr.,0.72 Cr.,20.19,2.07,₹ 10,0%,₹ 1.92 Cr.,₹ 24.38 Cr.,69.05%,0,,,,,,,,,
HOVS,₹ 58.06 Cr.,₹ 56.35 Cr.,1.26 Cr.,0,2.59,₹ 10,0%,₹ 2.85 Cr.,₹ 1.14 Cr.,50.42%,4.17%,-121.90%,-115.73%,,,,,,,
ABMINTLLTD,₹ 35.89 Cr.,₹ 21.76 Cr.,0.94 Cr.,17.01,2.11,₹ 10,0%,₹ 14.14 Cr.,₹ 0 Cr.,74.70%,-1.27%,7%,13.05%,,,,,,,
HECPROJECT,₹ 31.07 Cr.,₹ 63.48 Cr.,1.01 Cr.,43.34,1.04,₹ 10,0%,₹ 2.72 Cr.,₹ 35.13 Cr.,73.20%,16.43%,1.75%,5.08%,,,,,,,
